timestamp,datetime,left_velocity_ms,left_pwm,right_velocity_ms,right_pwm
1763585862.2194698,2025-11-19 17:57:42.219,0.0,130.0,0.0,130.0
1763585862.2194781,2025-11-19 17:57:42.219,0.0,130.0,0.0,130.0
1763585862.2194862,2025-11-19 17:57:42.219,0.0,130.0,0.0,130.0
1763585862.2194948,2025-11-19 17:57:42.219,0.0,130.0,0.0,130.0
1763585862.2195044,2025-11-19 17:57:42.219,0.0,130.0,0.0,130.0
1763585862.2195117,2025-11-19 17:57:42.219,0.0,130.0,0.0,130.0
1763585862.219524,2025-11-19 17:57:42.219,0.0,130.0,0.0,130.0
1763585862.2195506,2025-11-19 17:57:42.219,0.0,130.0,0.0,130.0
1763585862.2195597,2025-11-19 17:57:42.219,0.0,130.0,0.0,130.0
1763585862.2195673,2025-11-19 17:57:42.219,0.0,130.0,0.0,130.0
1763585862.2195754,2025-11-19 17:57:42.219,0.0,130.0,0.0,130.0
1763585862.2196681,2025-11-19 17:57:42.219,0.0,130.0,0.0,130.0
1763585862.2197044,2025-11-19 17:57:42.219,0.0,130.0,0.0,130.0
1763585862.2197206,2025-11-19 17:57:42.219,0.0,130.0,0.0,130.0
1763585862.2197332,2025-11-19 17:57:42.219,0.0,130.0,0.0,130.0
1763585862.219768,2025-11-19 17:57:42.219,0.0,130.0,0.0,130.0
1763585862.2197857,2025-11-19 17:57:42.219,0.0,130.0,0.0,130.0
1763585862.2197976,2025-11-19 17:57:42.219,0.0,130.0,0.0,130.0
1763585862.2198622,2025-11-19 17:57:42.219,0.0,130.0,0.0,130.0
1763585862.2198753,2025-11-19 17:57:42.219,0.0,130.0,0.0,130.0
1763585862.2198865,2025-11-19 17:57:42.219,0.0,130.0,0.0,130.0
1763585862.2198982,2025-11-19 17:57:42.219,0.0,130.0,0.0,130.0
1763585862.2199092,2025-11-19 17:57:42.219,0.0,140.0,0.0,140.0
1763585862.219922,2025-11-19 17:57:42.219,0.0,140.0,0.0,140.0
1763585862.219933,2025-11-19 17:57:42.219,0.0,140.0,0.0,140.0
1763585862.2199438,2025-11-19 17:57:42.219,0.0,140.0,0.0,140.0
1763585862.219954,2025-11-19 17:57:42.219,0.0,140.0,0.0,140.0
1763585862.2199647,2025-11-19 17:57:42.219,0.0,140.0,0.0,140.0
1763585862.2199755,2025-11-19 17:57:42.219,0.0,140.0,0.0,140.0
1763585862.2200117,2025-11-19 17:57:42.220,0.0,140.0,0.0,140.0
1763585862.220024,2025-11-19 17:57:42.220,0.0,140.0,0.0,140.0
1763585862.2202187,2025-11-19 17:57:42.220,0.0,140.0,0.0,140.0
1763585862.2202427,2025-11-19 17:57:42.220,0.0,140.0,0.0,140.0
1763585862.2202525,2025-11-19 17:57:42.220,0.0,140.0,0.0,140.0
1763585862.2202601,2025-11-19 17:57:42.220,0.0,140.0,0.0,140.0
1763585862.2202673,2025-11-19 17:57:42.220,0.0,140.0,0.0,140.0
1763585862.2202742,2025-11-19 17:57:42.220,0.0,140.0,0.0,140.0
1763585862.2202811,2025-11-19 17:57:42.220,0.0,140.0,0.0,140.0
1763585862.2202888,2025-11-19 17:57:42.220,0.0,140.0,0.0,140.0
1763585862.220296,2025-11-19 17:57:42.220,0.0,140.0,0.0,140.0
1763585862.220337,2025-11-19 17:57:42.220,0.0,140.0,0.0,140.0
1763585862.2203445,2025-11-19 17:57:42.220,0.0,140.0,0.0,140.0
1763585862.2203548,2025-11-19 17:57:42.220,0.0,140.0,0.0,140.0
1763585862.2203615,2025-11-19 17:57:42.220,0.0,140.0,0.0,140.0
1763585862.220368,2025-11-19 17:57:42.220,0.0,140.0,0.0,140.0
1763585862.2203746,2025-11-19 17:57:42.220,0.0,140.0,0.0,140.0
1763585862.220381,2025-11-19 17:57:42.220,0.0,140.0,0.0,140.0
1763585862.2203872,2025-11-19 17:57:42.220,0.0,140.0,0.0,140.0
1763585862.2203937,2025-11-19 17:57:42.220,0.0,140.0,0.0,140.0
1763585862.2204,2025-11-19 17:57:42.220,0.0,140.0,0.0,140.0
1763585862.2204065,2025-11-19 17:57:42.220,0.0,140.0,0.0,140.0
1763585862.220518,2025-11-19 17:57:42.220,0.0,140.0,0.0,140.0
1763585862.2205348,2025-11-19 17:57:42.220,0.0,140.0,0.0,140.0
1763585862.2205424,2025-11-19 17:57:42.220,0.0,140.0,0.0,140.0
1763585862.220549,2025-11-19 17:57:42.220,0.0,140.0,0.0,140.0
1763585862.2205555,2025-11-19 17:57:42.220,0.0,140.0,0.0,140.0
1763585862.2205622,2025-11-19 17:57:42.220,0.0,140.0,0.0,140.0
1763585862.2205684,2025-11-19 17:57:42.220,0.0,140.0,0.0,140.0
1763585862.2205746,2025-11-19 17:57:42.220,0.0,140.0,0.0,140.0
1763585862.2205942,2025-11-19 17:57:42.220,0.0,140.0,0.0,140.0
1763585862.2206008,2025-11-19 17:57:42.220,0.0,140.0,0.0,140.0
1763585862.2206073,2025-11-19 17:57:42.220,0.0,140.0,0.0,140.0
1763585862.220614,2025-11-19 17:57:42.220,0.0,140.0,0.0,140.0
1763585862.2206368,2025-11-19 17:57:42.220,0.0,140.0,0.0,140.0
1763585862.2206447,2025-11-19 17:57:42.220,0.0,140.0,0.0,140.0
1763585862.2206516,2025-11-19 17:57:42.220,0.0,140.0,0.0,140.0
1763585862.220658,2025-11-19 17:57:42.220,0.0,140.0,0.0,140.0
1763585862.220665,2025-11-19 17:57:42.220,0.0,140.0,0.0,140.0
1763585862.220674,2025-11-19 17:57:42.220,0.0,140.0,0.0,140.0
1763585862.22068,2025-11-19 17:57:42.220,0.0,140.0,0.0,140.0
1763585862.2206857,2025-11-19 17:57:42.220,0.0,140.0,0.0,140.0
1763585862.2207348,2025-11-19 17:57:42.220,0.0,140.0,0.0,140.0
1763585862.2207437,2025-11-19 17:57:42.220,0.0,140.0,0.0,140.0
1763585862.2207499,2025-11-19 17:57:42.220,0.0,140.0,0.0,140.0
1763585862.220775,2025-11-19 17:57:42.220,0.0,140.0,0.0,140.0
1763585862.2207816,2025-11-19 17:57:42.220,0.0,140.0,0.0,140.0
1763585862.220788,2025-11-19 17:57:42.220,0.0,140.0,0.0,140.0
1763585862.220794,2025-11-19 17:57:42.220,0.0,140.0,0.0,140.0
1763585862.2208,2025-11-19 17:57:42.220,0.0,140.0,0.0,140.0
1763585862.220806,2025-11-19 17:57:42.220,0.0,140.0,0.0,140.0
1763585862.2208118,2025-11-19 17:57:42.220,0.0,140.0,0.0,140.0
1763585862.2208176,2025-11-19 17:57:42.220,0.0,140.0,0.0,140.0
1763585862.2208238,2025-11-19 17:57:42.220,0.0,140.0,0.0,140.0
1763585862.2208297,2025-11-19 17:57:42.220,0.0,140.0,0.0,140.0
1763585862.2208362,2025-11-19 17:57:42.220,0.0,140.0,0.0,140.0
1763585862.2208552,2025-11-19 17:57:42.220,0.0,140.0,0.0,140.0
